ANNEEDEPLANTATION,ANNEEREALISATIONDIAGNOSTIC,ANNEETRAVAUXPRECONISESDIAG,CODE_PARENT,DIAMETREARBREAUNMETRE,ESPECE,FREQUENTATIONCIBLE,GENRE_BOTA,NOTEDIAGNOSTIC,PRIORITEDERENOUVELLEMENT,STADEDEVELOPPEMENTDIAG,TRAITEMENTCHENILLES,TRAVAUXPRECONISESDIAG,TROTTOIR,VARIETE,VIGUEUR,DEFAUT,INTITULEPROTECTIONPLU_L 1231,INTITULEPROTECTIONPLU_L 1231.7,INTITULEPROTECTIONPLU_ebc,INTITULEPROTECTIONPLU_valeur manquante,RAISONDEPLANTATION_Nouveau,RAISONDEPLANTATION_Remplacement,RAISONDEPLANTATION_valeur manquante,remarquesclusterisées,SOUS_CATEGORIE_DESC_Arbre de voirie,SOUS_CATEGORIE_DESC_Arbre denceintes fermées,cluster,SOUS_CATEGORIE_DESC_Arbre despaces ouverts,SOUS_CATEGORIE_DESC_Bois semi naturel,TYPEIMPLANTATIONPLU_Alignement,TYPEIMPLANTATIONPLU_Groupé,TYPEIMPLANTATIONPLU_Isolé,TYPEIMPLANTATIONPLU_Périmètre,TYPEIMPLANTATIONPLU_valeur manquante
2014,2014.0,2019.0,599,2,52,2,5,1,4,1,0,3,0,89,4.0,0,False,False,False,True,False,True,False,0,True,False,391,False,False,False,False,False,False,True
2004,2013.0,2017.0,143,4,1,3,75,1,4,2,0,15,0,89,4.0,0,False,False,False,True,False,False,True,0,True,False,318,False,False,False,False,False,False,True
2004,2014.0,2014.0,815,2,88,2,59,1,4,2,0,3,1,89,4.0,0,False,False,False,True,False,False,True,0,False,False,181,True,False,False,False,False,False,True
2004,2014.0,2014.0,82,5,101,3,94,1,4,2,0,13,1,89,4.0,1,False,False,False,True,False,False,True,3,True,False,341,False,False,False,False,False,False,True
2004,2013.0,2017.0,418,3,6,3,41,1,4,2,0,15,1,89,4.0,0,False,False,False,True,False,False,True,0,True,False,120,False,False,False,False,False,False,True
2004,2015.0,2018.0,1024,5,0,3,72,4,1,2,0,4,0,89,4.0,1,False,False,False,True,False,False,True,0,False,False,254,True,False,False,False,False,False,True
2004,2013.0,2020.0,346,4,71,3,41,1,4,2,0,9,0,89,4.0,0,False,False,False,True,False,False,True,0,False,False,51,True,False,False,False,False,False,True
2004,2014.0,2014.0,272,4,133,3,77,3,3,3,0,9,0,45,,1,False,False,False,True,False,False,True,0,False,False,399,True,False,False,False,False,False,True
2004,2013.0,2017.0,405,5,1,3,75,1,4,2,0,15,1,89,4.0,0,False,False,False,True,False,False,True,0,True,False,58,False,False,False,False,False,False,True
2004,2015.0,2017.0,1136,5,217,2,1,2,4,2,0,9,0,89,4.0,1,False,False,False,True,False,False,True,0,False,False,31,True,False,False,False,False,False,True
2009,2015.0,2017.0,998,2,217,2,103,1,4,1,0,15,0,89,4.0,0,False,False,False,True,False,False,True,0,False,False,299,True,False,False,False,False,False,True
2004,2014.0,2014.0,842,5,206,3,103,1,4,2,0,14,1,89,4.0,1,False,False,False,True,False,False,True,19,True,False,62,False,False,False,False,False,False,True
2004,2013.0,2016.0,301,3,101,3,94,2,3,2,0,11,1,89,4.0,0,False,False,False,True,False,False,True,0,True,False,370,False,False,False,False,False,False,True
2005,2015.0,2018.0,250,2,220,3,8,1,4,1,0,12,0,89,4.0,0,False,False,False,True,False,False,True,0,True,False,388,False,False,False,False,False,False,True
2004,2015.0,2020.0,591,3,217,3,11,1,4,2,0,12,1,71,4.0,1,False,False,False,True,False,False,True,0,True,False,275,False,False,False,False,False,False,True
2004,2015.0,2017.0,763,2,197,3,55,1,4,1,0,15,1,89,4.0,0,False,False,False,True,False,False,True,0,True,False,388,False,False,False,False,False,False,True
2004,2013.0,2017.0,817,3,166,3,1,1,3,2,0,15,0,89,3.0,0,False,False,False,True,False,False,True,0,True,False,134,False,False,False,False,False,False,True
2004,2015.0,2016.0,66,3,101,3,94,4,1,2,0,0,0,89,,1,False,False,False,True,False,False,True,3,False,False,262,True,False,False,False,False,False,True
2009,2013.0,2017.0,233,1,174,3,20,1,3,1,0,15,0,89,4.0,0,False,False,False,True,False,False,True,0,True,False,191,False,False,False,False,False,False,True
2004,2013.0,2018.0,22,4,1,3,75,1,4,2,0,12,1,89,4.0,0,False,False,False,True,False,False,True,2,True,False,333,False,False,False,False,False,False,True
2006,2015.0,2018.0,891,12,133,2,77,2,4,3,0,12,0,89,4.0,1,False,False,False,True,False,False,True,4,False,False,59,True,False,False,False,False,False,True
2004,2014.0,2014.0,788,1,220,3,8,1,4,1,0,5,0,89,4.0,0,False,False,False,True,False,False,True,3,True,False,304,False,False,False,False,False,False,True
2004,2013.0,2016.0,469,4,133,2,73,2,3,2,3,9,0,4,3.0,0,False,False,False,True,False,False,True,3,False,False,370,True,False,False,False,False,False,True
2004,2013.0,2014.0,1028,4,206,3,103,1,3,2,0,14,1,89,4.0,0,False,False,False,True,False,False,True,0,True,False,206,False,False,False,False,False,False,True
